0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,F,Fe,Ga,Gd,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,P,Pb,Pd,Pr,Pt,REE,Rb,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Sr,0,25,2,0,6,19,1,0,0,11,38,0,12,9,0,5,0,3,0,21,25,0,0,0,67,0,0,0,0,12,7,0,11,17,0,0,49,11,0,0,98,21,1,0,0,0,3,0,0,0,2,0,0,0,51,0,0,0,0,0,0,23,0,3,6,2,3,0,2,14
Ta,0,2,2,0,1,0,0,2,0,3,5,0,1,0,0,0,1,0,0,1,7,0,0,0,5,0,0,0,0,4,0,0,1,4,0,0,6,19,0,0,28,2,3,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,4,0,2,0,1,5,0,0,1
Te,9,2,3,5,0,0,0,8,0,3,3,0,0,9,0,1,0,21,0,0,14,0,0,1,24,3,0,0,2,2,0,0,7,3,1,0,0,0,0,5,47,0,23,6,0,2,0,0,0,0,17,4,0,7,0,0,2,0,0,0,0,2,1,3,1,1,0,0,6,0
Th,0,5,1,0,2,2,1,0,0,1,6,0,3,0,0,0,0,0,0,2,4,0,0,0,16,0,0,0,0,2,2,0,0,1,2,0,4,4,0,0,18,6,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0
Ti,0,30,13,0,8,43,4,0,0,4,63,0,24,9,0,12,3,3,0,47,91,0,0,0,130,0,0,0,0,56,5,15,30,36,0,0,106,53,1,0,220,13,3,0,0,0,3,0,0,0,7,3,2,0,149,0,4,23,4,2,4,0,0,3,10,0,14,0,12,20
Tl,14,1,40,3,0,0,0,2,0,0,0,0,0,5,0,0,0,13,0,0,6,0,0,0,6,6,1,0,0,4,0,0,0,4,0,0,0,0,0,1,8,0,19,1,0,0,0,0,0,0,53,25,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0
U,0,14,15,0,0,6,0,5,0,25,28,0,2,2,2,2,1,8,1,5,6,0,1,0,130,0,0,0,0,20,1,1,11,5,5,9,25,2,4,2,140,20,18,0,0,0,0,0,0,0,37,0,0,7,10,1,0,3,2,3,2,3,0,0,9,0,7,0,1,1
V,1,28,23,0,6,14,1,2,0,2,35,0,1,13,1,5,2,25,0,8,21,0,0,0,105,1,0,0,0,16,2,2,24,17,4,9,21,0,1,4,157,16,15,0,0,0,0,1,0,0,16,3,0,0,33,0,1,6,0,1,0,10,2,9,0,3,1,0,6,0
W,0,3,5,0,2,0,0,0,0,1,8,0,2,3,0,0,1,2,0,2,10,0,0,2,14,0,0,0,0,3,0,0,6,4,2,0,5,3,0,0,24,3,4,0,0,0,0,0,0,0,3,2,0,0,4,0,0,2,1,1,0,0,0,0,3,0,2,0,2,3
Y,0,12,3,0,12,5,5,0,0,21,32,0,4,3,0,2,0,2,1,24,9,0,2,0,46,0,0,0,0,7,1,2,3,8,0,0,28,7,4,0,75,9,5,0,0,0,7,0,0,0,8,0,1,0,37,2,0,3,5,0,2,14,0,7,1,2,0,1,2,5
Yb,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zn,4,26,37,0,1,3,4,0,0,7,25,3,2,9,0,5,0,28,0,2,52,3,0,3,119,1,0,1,0,20,1,2,27,40,0,1,20,5,0,3,145,29,13,1,0,0,0,0,0,0,37,8,0,2,34,0,6,2,0,6,0,12,2,1,6,2,2,0,0,0
Zr,0,7,0,0,2,3,3,0,0,9,44,0,11,15,0,1,2,0,0,5,26,0,0,0,55,0,0,0,0,15,1,7,6,20,1,0,53,16,0,0,79,7,0,0,0,0,2,0,0,0,1,2,3,0,55,0,2,14,1,0,0,20,0,1,0,3,5,0,0,0
