0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	Er	F	Fe	Ga	Gd	Ge	H	Hf	Hg	I	In	Ir	K	La	Li	Ln	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	Os	P	Pb	Pd	Pt	REE	Rb	Re	Rh	Ru	S	Sb	Sc	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Yb	Zn	Zr
Ca	0	179	64	0	44	26	18	2	0	64	0	0	32	38	4	5	0	26	1	1	86	122	0	1	0	413	0	0	1	0	0	66	12	7	1	96	87	2	2	162	26	7	1	590	0	76	17	0	0	11	0	0	0	0	46	4	3	0	289	0	6	24	8	7	12	49	0	30	26	0	24	1	14	25
Cd	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ce	0	13	5	0	7	9	3	0	0	19	32	0	0	0	0	3	0	2	0	0	21	20	0	0	0	44	0	0	0	0	0	1	26	0	0	6	3	0	0	17	5	14	0	75	0	11	1	0	0	2	0	0	0	0	2	0	0	0	34	2	0	7	1	0	4	14	0	4	3	1	11	0	1	2
Cl	3	21	13	0	13	7	1	2	3	9	38	0	0	0	0	0	0	35	0	0	8	27	0	0	0	85	0	7	3	0	0	22	1	0	0	17	9	1	5	31	4	0	3	128	0	3	37	0	0	0	0	0	0	0	27	6	0	1	32	0	1	1	0	7	0	5	1	0	0	1	0	0	6	4
Co	0	1	15	0	0	0	0	2	0	3	4	0	0	0	0	0	0	4	0	0	0	8	0	0	0	18	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	11	19	0	0	0	0	0	0	0	0	0	0	11	3	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
Cr	0	4	1	0	2	4	0	0	0	1	5	0	3	0	0	0	0	2	0	0	3	11	0	0	0	17	0	0	1	0	0	5	3	0	0	8	4	1	1	4	0	0	0	32	0	2	6	0	0	0	0	0	0	0	3	0	0	0	6	0	0	4	0	0	0	11	0	5	5	0	5	0	3	3
Cs	0	5	1	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Cu	32	19	71	7	0	2	0	36	1	12	26	3	2	35	4	2	1	0	0	0	2	58	1	0	4	151	0	12	2	3	4	13	1	0	0	7	2	4	5	13	0	2	6	175	0	15	70	7	7	1	0	1	2	0	150	33	0	26	17	0	16	0	0	28	0	0	7	5	9	1	1	0	31	0
Dy	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Er	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
F	0	68	7	0	17	17	7	3	0	13	86	0	21	8	0	3	3	2	0	0	0	34	0	0	0	97	0	0	0	0	0	28	9	11	0	38	18	0	2	84	14	2	0	169	0	32	7	0	0	6	1	0	0	0	13	1	0	0	91	0	0	7	3	0	3	30	0	5	3	0	17	0	1	8
Fe	7	130	59	1	21	28	4	14	0	12	122	1	20	27	8	11	0	58	0	0	34	0	0	0	4	339	0	1	0	3	5	62	11	8	0	132	98	5	10	102	16	4	19	478	2	111	36	0	3	3	0	1	2	2	115	15	2	8	177	1	16	11	9	10	6	67	5	22	20	3	20	0	38	12
Ga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gd	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ge	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
H	2	376	161	0	77	58	25	21	0	121	413	2	44	85	18	17	1	151	1	1	97	339	0	1	0	0	0	3	2	1	0	148	23	18	1	239	194	9	47	263	42	19	28	1321	0	211	88	0	0	7	1	0	0	0	204	20	3	5	423	2	13	31	8	25	11	77	1	117	70	8	33	1	90	19
Hf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hg	12	0	9	0	0	0	0	1	1	0	0	0	0	7	0	0	1	12	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	9	0	0	2	3	0	0	0	0	0	0	23	10	0	2	1	0	1	0	0	1	0	0	4	0	0	0	0	0	3	0
I	2	0	0	0	0	0	0	0	1	0	1	0	0	3	0	1	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
In	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
Ir	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	5	0	0	0	4	5	8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K	0	90	4	0	7	15	4	0	0	9	66	0	1	22	0	5	3	13	0	0	28	62	0	0	0	148	0	0	0	0	0	0	0	7	0	47	22	0	8	94	13	0	1	203	0	18	2	0	0	1	2	0	0	0	47	1	0	0	128	0	0	6	1	0	2	30	0	7	3	0	2	0	3	9
La	0	7	5	0	2	1	1	0	0	12	12	0	26	1	0	3	0	1	0	0	9	11	0	0	0	23	0	0	0	0	0	0	0	0	0	3	1	0	0	4	2	11	0	35	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	3	0	0	1	5	0	2	2	0	3	0	0	2
Li	0	17	0	0	3	0	2	0	0	1	7	0	0	0	0	0	2	0	0	0	11	8	0	0	0	18	0	0	0	0	0	7	0	0	0	7	8	0	0	14	0	0	0	32	0	6	0	0	0	0	1	0	0	0	0	0	0	0	23	0	0	1	2	0	0	2	0	0	0	0	0	0	0	1
Ln	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Mg	0	129	23	0	45	16	2	0	0	28	96	0	6	17	3	8	0	7	0	0	38	132	0	0	0	239	0	0	0	0	0	47	3	7	0	0	52	0	7	76	2	0	6	324	0	44	3	0	0	0	0	0	0	0	37	2	1	0	153	0	2	5	1	2	0	24	0	12	9	1	0	0	14	3
Mn	3	54	29	0	8	15	5	0	0	6	87	1	3	9	2	4	0	2	0	0	18	98	0	0	0	194	0	0	0	1	0	22	1	8	0	52	0	0	0	65	12	0	3	259	0	60	18	0	0	1	1	0	0	0	22	7	0	0	111	0	3	8	3	3	2	34	0	4	15	2	6	0	16	9
Mo	0	0	3	0	0	0	0	2	0	0	2	0	0	1	0	1	0	4	0	0	0	5	0	0	0	9	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	14	1	2	1	0	0	0	0	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0
N	0	6	0	0	0	0	0	0	0	7	2	0	0	5	0	1	0	5	0	0	2	10	0	0	0	47	0	1	0	0	0	8	0	0	0	7	0	1	0	5	0	0	2	44	0	8	0	0	0	0	0	0	0	0	19	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
