0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,F,Fe,Ga,Gd,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,P,Pb,Pd,Pr,Pt,REE,Rb,Rh,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Co,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,14,1,1,0,0,0,0,0,0,5,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cr,0,5,0,0,3,1,2,2,0,5,6,0,1,1,1,0,0,2,0,13,0,0,0,15,1,0,0,0,2,0,0,12,2,0,0,5,1,0,2,31,1,4,0,0,0,0,0,0,7,0,0,0,8,0,0,2,0,0,0,7,0,1,3,0,1,0,1,0
Cs,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,5,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Cu,15,16,30,0,1,2,0,15,1,13,12,5,1,31,3,2,1,0,1,25,1,1,4,77,5,1,0,1,21,0,1,12,3,7,3,12,0,1,13,120,10,28,5,0,6,0,0,2,58,12,0,23,8,1,4,0,0,16,0,0,4,6,17,1,1,0,12,0
F,1,42,2,0,8,27,4,1,0,15,58,0,13,8,0,0,1,1,0,27,0,0,0,55,0,0,0,0,19,6,9,27,16,0,2,56,6,1,0,108,19,6,0,0,0,2,1,0,10,0,0,0,65,0,0,9,1,0,1,22,0,4,3,0,13,0,1,3
Fe,6,67,26,0,13,29,11,4,0,13,88,1,22,18,1,13,2,25,27,0,0,0,3,188,1,0,1,2,35,7,6,79,51,8,4,60,18,2,19,278,68,24,1,0,3,3,0,1,49,12,1,1,108,0,9,14,4,9,4,53,3,3,7,3,5,0,21,12
Ga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gd,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ge,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
H,1,222,89,0,66,50,19,14,3,85,246,7,31,78,12,15,5,77,55,188,0,1,3,0,4,4,1,0,96,13,18,164,135,19,38,183,31,9,26,807,135,55,0,1,0,4,0,0,129,7,3,11,263,2,10,29,3,14,9,66,3,77,56,4,22,2,60,20
Hg,7,0,6,1,0,0,0,1,6,0,0,0,0,9,0,1,0,5,0,1,0,0,0,4,0,5,0,0,0,0,0,0,0,0,3,0,0,0,1,10,0,2,2,0,1,0,0,0,16,4,0,4,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0
I,2,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,4,5,0,0,0,2,0,0,2,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ir,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K,1,49,5,0,6,18,2,1,1,9,52,0,1,27,0,2,3,21,19,35,0,0,0,96,0,2,0,0,0,0,11,32,17,1,4,73,11,0,2,144,7,5,0,0,0,0,0,0,31,3,0,2,88,0,1,4,1,1,1,25,3,7,7,1,4,0,7,8
La,0,9,2,0,1,2,0,0,0,10,11,0,16,0,0,0,0,0,6,7,0,0,0,13,0,0,0,0,0,0,0,4,7,0,0,7,2,8,0,30,1,0,0,1,0,0,0,0,1,0,0,0,13,1,0,5,0,0,1,4,0,0,1,0,0,0,1,1
Li,0,14,0,0,4,0,2,0,0,0,5,0,1,0,0,0,0,1,9,6,0,0,0,18,0,0,0,0,11,0,0,7,3,0,0,17,0,0,0,32,2,0,0,0,0,0,1,0,0,0,0,0,30,0,1,0,0,0,0,7,0,0,0,0,0,0,0,3
Mg,0,71,14,0,31,14,6,1,0,22,72,0,9,12,1,12,1,12,27,79,0,0,0,164,0,2,0,0,32,4,7,0,41,1,5,55,4,2,4,222,40,4,0,0,0,1,0,0,23,6,2,1,87,0,4,4,1,5,0,17,0,7,4,2,2,0,15,2
