0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,F,Fe,Ga,Gd,Ge,H,Hf,Hg,I,In,Ir,K,La,Li,Ln,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pr,Pt,REE,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Ca,0,311,112,0,102,66,47,2,0,113,0,1,58,95,2,16,6,56,2,1,167,250,0,2,2,746,0,0,4,0,0,154,24,22,1,184,172,7,6,326,58,13,5,1057,0,161,33,0,0,0,23,0,0,0,0,94,15,11,2,521,1,14,59,11,10,14,99,0,46,52,8,50,1,36,59
Cd,1,1,6,0,0,0,0,2,0,0,1,0,0,3,0,0,0,12,0,0,1,1,0,0,1,12,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,2,5,0,0,0,0,0,0,0,0,15,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Ce,0,27,10,0,9,21,6,0,0,34,58,0,0,5,0,3,1,4,0,0,36,40,0,0,0,83,0,0,0,0,0,7,36,1,0,16,25,1,0,50,14,21,0,139,0,15,1,0,0,0,3,0,0,0,0,6,0,0,0,77,2,0,16,1,0,4,32,0,5,3,3,13,0,3,12
Cl,6,52,40,0,36,19,1,10,10,28,95,3,5,0,2,3,1,81,1,0,23,59,0,1,0,201,0,20,8,0,0,68,0,2,0,39,36,4,22,73,8,0,6,301,0,8,73,0,0,0,1,1,0,0,0,64,10,0,13,77,0,3,10,0,16,0,13,6,2,13,3,3,0,13,17
Co,0,1,20,0,0,0,0,3,0,3,2,0,0,2,0,1,0,6,0,0,0,7,0,0,0,30,0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,0,12,33,0,1,2,0,0,0,0,0,0,0,0,14,4,0,5,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0
Cr,0,9,1,0,5,5,3,2,0,7,16,0,3,3,1,0,0,6,0,0,3,24,0,0,0,41,0,3,2,0,0,7,2,0,0,21,6,0,1,10,1,0,2,73,0,2,14,0,0,0,0,0,0,0,0,17,1,0,0,16,0,0,8,0,1,0,19,0,4,7,0,4,0,6,4
Cs,0,6,3,0,6,0,6,0,0,0,6,0,1,1,0,0,0,4,0,0,12,5,0,0,0,14,0,1,0,0,0,9,0,7,0,2,1,0,0,8,1,1,0,28,0,1,3,0,0,0,1,2,0,0,0,4,2,0,0,17,0,0,0,1,0,0,3,1,1,2,1,0,0,1,2
Cu,51,43,124,6,6,6,0,46,2,31,56,12,4,81,6,6,4,0,0,0,8,89,4,1,11,237,0,22,6,2,4,49,4,1,0,27,10,12,10,44,0,4,20,348,0,26,91,12,0,11,1,1,1,5,0,203,48,0,54,31,1,19,3,0,43,0,3,18,12,29,3,3,0,47,0
Dy,0,0,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Er,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
F,1,119,17,0,32,64,10,1,1,38,167,1,36,23,0,3,12,8,1,0,0,69,0,1,0,182,0,0,0,0,0,60,12,31,0,74,47,2,3,171,25,6,0,325,0,65,18,0,0,0,16,2,0,0,0,32,1,0,0,183,0,1,27,2,0,5,69,0,7,10,2,38,0,3,10
Fe,10,218,111,1,42,62,18,15,0,25,250,1,40,59,7,24,5,89,0,0,69,0,2,0,13,551,0,2,0,3,6,114,22,24,0,216,168,20,18,210,42,7,32,817,2,171,62,1,0,5,9,0,1,2,2,154,32,3,7,311,1,20,34,14,22,8,141,10,18,34,13,21,0,79,34
Ga,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Gd,0,0,0,0,0,1,0,0,0,4,2,0,0,1,0,0,0,1,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Ge,2,4,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,11,0,0,0,13,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,0,1,8,2,0,0,0,0,0,1,0,19,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2,0,0,4,0
H,2,607,285,0,167,143,55,32,5,262,746,12,83,201,30,41,14,237,3,1,182,551,4,4,11,0,0,10,9,1,0,302,36,52,1,431,381,38,106,564,101,30,51,2293,0,371,154,0,1,0,17,2,0,0,0,355,28,6,18,751,6,22,92,9,45,23,188,7,194,151,20,67,3,179,67
Hf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hg,19,1,18,2,0,0,0,4,10,4,0,0,0,20,0,3,1,22,0,0,0,2,0,0,0,10,0,0,10,0,0,0,0,0,0,1,1,1,5,0,0,0,2,28,0,1,10,2,0,1,0,0,0,0,0,42,19,0,9,1,0,1,0,0,3,0,0,10,0,1,0,0,0,4,0
I,3,0,1,0,0,0,0,1,4,1,4,0,0,8,0,2,0,6,0,0,0,0,0,0,0,9,0,10,0,0,0,2,0,0,0,3,0,0,1,4,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
In,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Ir,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,2,0,0,4,0,0,0,4,3,7,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
K,1,145,27,0,21,44,16,2,1,22,154,2,7,68,0,7,9,49,0,0,60,114,0,0,0,302,0,0,2,0,0,0,1,29,0,82,54,3,18,216,41,0,2,451,0,33,18,0,0,0,1,3,0,0,0,100,5,1,4,262,0,4,17,5,2,4,79,4,24,18,3,9,0,23,22
La,0,20,6,0,2,4,0,0,0,24,24,0,36,0,0,2,0,4,0,0,12,22,0,0,0,36,0,0,0,0,0,1,0,0,0,6,10,0,0,15,3,19,0,68,0,7,0,0,1,0,0,0,0,0,0,3,0,0,0,29,1,0,8,0,0,3,9,0,2,3,0,2,0,1,2
Li,0,36,1,0,7,2,10,0,0,4,22,0,1,2,0,0,7,1,0,0,31,24,0,0,0,52,0,0,0,0,0,29,0,0,0,17,16,0,0,50,0,0,0,96,0,15,0,0,0,0,0,2,0,0,0,1,0,0,0,72,0,3,1,2,0,0,15,0,1,2,0,2,0,2,8
Ln,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mg,0,207,60,0,79,32,14,1,0,49,184,0,16,39,3,21,2,27,0,0,74,216,0,0,0,431,0,1,3,0,0,82,6,17,0,0,115,8,12,164,10,2,10,592,0,99,12,0,0,0,1,0,0,0,0,58,11,5,1,227,0,9,15,2,9,0,49,0,19,31,7,3,0,39,9
Mn,6,90,76,0,30,35,15,1,0,27,172,0,25,36,2,6,1,10,0,0,47,168,0,0,0,381,0,1,0,0,0,54,10,16,0,115,0,2,2,146,37,4,3,516,0,105,36,0,0,0,6,1,0,0,0,49,25,2,0,249,0,6,24,7,6,2,65,4,7,28,6,12,0,53,26
