"id","name","ima","imayear","yeardiscovery","yearrruff","yearminref","yearmintype","strunz10ed1","strunz10ed2","strunz10ed3","strunz10ed4","ima_status","shortcode_ima","loccount"
"29262","Cloncurryite","1","2006",,"2005","\N","2007","8","D","C","60","1","Ccu","1"
"1095","Coalingite","1","1965","1965","1965","1962","1965","5","D","A","55","1","Clg","33"
"11113","Cobaltarthurite","1","2001",,"2001","\N","2002","8","D","C","15","1","Caru","5"
"1099","Cobaltaustinite","1","1987",,"1987","1988","\N","8","B","H","35","1","Caus","14"
"1093","Cobaltite","6","0","1797","1832","1797","\N","2","E","B","25","9","Cbt","1133"
"26414","Cobaltkieserite","1","2002","2002","2002","\N","\N","7","C","B","05","1","Cksr","2"
"1091","Cobaltkoritnigite","1","1980","1980","1980","1979","\N","8","C","B","20","1","Ckor","36"
"6885","Cobaltlotharmeyerite","1","1997",,"1997","1999","1999","8","C","G","15","1","Clmy","10"
"11015","Cobaltneustädtelite","1","2000",,"2000","\N","\N","8","B","K","10","1","Cneu","6"
"43582","Cobaltoblödite","1","0",,"2012","\N","2013","7","C","C",,"1","Cblö","1"
"1092","Cobaltomenite","6","0","1882","1882","1882","1882","4","J","H","10","9","Cbm","15"
"1097","Cobaltpentlandite","1","0","1959","1959","1959","1959","2","B","B","15","1","Copn","100"
"7095","Cobalttsumcorite","1","1999",,"1999","\N","\N","8","C","G","15","1","Ctsm","4"
"1098","Cobaltzippeite","1","0","1976","1971","\N","\N","7","E","C","05","1","Czip","4"
"1100","Coccinite","6","0",,"1845","1829","\N","3","A","B","10","9","Cci","4"
"1101","Cochromite","1","0","1978","1978","1978","1978","4","B","B","05","1","Cchr","4"
"1102","Coconinoite","1","1965","1965","1965","1966","1966","8","E","B","35","1","Coc","12"
"1104","Coesite","1","0","1954","1954","1960","\N","4","D","A","35","9","Coe","88"
"1106","Coffinite","6","0","1954","1955","1955","1955","9","A","D","30","9","Cof","685"
"1107","Cohenite","6","0","1889","1889","1944","\N","1","B","A","05","9","Coh","89"
"27610","Coiraite","1","2005",,"2005","\N","\N","2","H","F","25b","1","Coi","4"
"46423","Coldwellite","1","2014",,"2014","\N","2015","2","B","C",,"1","Cwl","4"
"1108","Colemanite","6","0","1884","1883","1883","\N","6","C","B","10","9","Cole","161"
"35575","Colimaite","1","2007",,"2007","\N","\N","2","F","B","25","1","Com","1"
"43366","Colinowensite","1","2012",,"2012","1989","2015","9","C","0",,"1","Cwn","1"
"1109","Collinsite","6","0","1924","1927","1924","\N","8","C","G","05","9","Coll","43"
"1110","Coloradoite","6","0","1877","1878","1877","\N","2","C","B","05a","9","Clr","204"
"1111","Colquiriite","1","0","1980","1980","1971","\N","3","C","B","20","1","Cqr","3"
"1514","Columbite-(Fe)","6","0","1928","1805","1801","\N","4","D","B","35","9","Clb-Fe","578"
"2541","Columbite-(Mg)","1","0","1963","1963","1963","1963","4","D","B","35","1","Clb-Mg","8"
"2520","Columbite-(Mn)","6","0","1892","1892","1892","\N","4","D","B","35","9","Clb-Mn","330"
"1113","Colusite","6","0","1932","1914","1931","\N","2","C","B","30","9","Col","147"
"1114","Comancheite","11","2013","1981","1980","1981","1981","3","D","D","65","1","Cmc","4"
"1115","Combeite","6","0","1957","1957","1957","\N","9","C","J","15a","9","Cbe","6"
"1116","Comblainite","1","0","1980","1978","1980","1980","5","D","A","50","1","Cob","5"
"52525","commodity:Tin","0","\N","\N","\N","\N","\N","\N",,,,"0","Sn","1071"
"1117","Compreignacite","1","0","1964","1964","1964","1964","4","G","B","05","1","Cgn","32"
"1118","Congolite","1","0","1972","1971","1972","\N","6","G","A","10","1","Cgl","9"
"1119","Conichalcite","6","0","1849","1849","1849","1849","8","B","H","35","9","Con","431"
"1120","Connellite","6","0","1850","1847","1802","\N","3","D","A","25","9","Cnl","350"
"1121","Cookeite","1","0","1866","1866","1866","\N","9","E","C","55","9","Ckt","212"
"1122","Coombsite","1","0","1991","1989","1991","\N","9","E","G","35","1","Cmb","6"
"1123","Cooperite","6","0","1928","1928","1928","1928","2","C","C","35b","9","Cpe","151"
"6889","Coparsite","1","0",,"1996","1998","1999","8","B","E","80","1","Cop","1"
"1124","Copiapite","6","0","1833","1833","1747","\N","7","D","B","35","9","Cpi","447"
"1209","Copper","6","0",,"0","1886","\N","1","A","A","05","9","Cu","4310"
"1125","Coquandite","1","1991","1991","1991","1992","\N","7","D","E","35","1","Cqd","11"
"1126","Coquimbite","6","0","1841","1841","1833","\N","7","C","B","55","9","Coq","157"
"40140","Coralloite","1","2010",,"2010","\N","2012","8","D","C","20","1","Crll","4"
"1127","Corderoite","1","0","1974","1973","1968","1974","2","F","C","15a","1","Cde","20"
"1128","Cordierite","6","0","1813","1813","1952","\N","9","C","J","10","9","Crd","1163"
