"id","name","ima","imayear","yeardiscovery","yearrruff","yearminref","yearmintype","strunz10ed1","strunz10ed2","strunz10ed3","strunz10ed4","ima_status","type_desc","shortcode_ima","loccount"
"26355","Tsepinite-K","1","2002","","2002",\N,"2003","9","C","E","30b","1","Chukanov, N.V., Pekov, I.V., Zadov, A.E., Rosenberg, K.A., Rastsvetaeva, R.K., Krivovichev, S.V., Levitskay, L.A. (2003) New minerals tsepinite-K (K,Ba,Na)2(Ti,Nb)2(Si4O12)(OH,O)2·3H2O and paratsepinite-Ba (Ba,Na,K)2-x(Ti,Nb)2(Si4O12)(OH,O)2·4H2O and their relationship with other labuntsovite group members. Zapiski Vserossijskogo Mineralogicheskogo Obshchestva: 132(1): 38-51.","Tsp-K","5"
"11013","Tsepinite-Na","1","0","","2000",\N,"2001","9","C","E","30b","1","Shlyukova, Z.V., Chukanov, N.V., Pekov, I.V., Rastsvetaeva, R.K., Organova, N.I., Zadov, A.E. (2001) Tsepinite-Na (Na,H3O,K,Sr,Ba)2(Ti,Nb)2[Si4O12](OH,O)2·3H2O, a new mineral of the labuntsovite group. Zapiski Vserossijskogo Mineralogicheskogo Obshchestva: 130(3): 43-50.","Tsp-Na","7"
"27458","Tsepinite-Sr","1","2004","","2004",\N,"2005","9","C","E","30b","1","Pekov, I.V., Chukanov, N.V., Zadov, A.E., Rozenberg, K.A., Rastsvetaeva, R.K. (2005) Tsepinite-Sr, (Sr,Ba,K)(Ti,Nb)2(Si4O12)(OH,O)2·3H2O, a new mineral of the labunstovite group. New Data on Minerals. Moscow: 40: 11-16.","Tsp-Sr","4"
"53483","Tsikourasite","0",\N,"","2019",\N,"2019","1","B","D","50","1","Zaccarini, F., Bindi, L., Ifandi, E., Grammatikopoulos, T., Stanley, C., Garuti, G., Mauro, D. (2019) Tsikourasite, Mo3Ni2P1+x (x < 0.25), a New Phosphide from the Chromitite of the Othrys Ophiolite, Greece. Minerals: 9: 248; https://doi.org/10.3390/min9040248;","Tsi","1"
"8016","Tsilaisite","11","2011","","2011","1984",\N,"9","C","K","05","1","","Tsl","3"
"4038","Tsnigriite","1","1991","1991","1991","1992","1992","2","L","A","55","1","Sandomirskaya, S.M., Arifulov, C.K., Botova, M.M., Mozgova, N.N., Nenasheva, S.N., Tsepin, A.I., Sivtsov, A.V. (1992) Tsnigriite Ag9SbTe3(S,Se)3 — a new mineral. Zapiski Vserossijskogo Mineralogicheskogo Obshchestva: 121(5): 95-101.","Tng","5"
"7344","Tsugaruite","1","1997","","1997","1998","1998","2","J","B","30c","1","Shimizu, M., Miyawaki, R., Kato, A., Matsubara, S., Matsuyama, F. and Kiyota, K. (1998) Tsugaruite, Pb4As2S7, a new mineral species from the Yunosawa mine, Aomori Prefecture, Japan. Mineralogical Magazine: 62(6): 793-799.","Tsg","5"
"4039","Tsumcorite","1","1969","1969","1969","1961","1971","8","C","G","15","1","Geier, B.H., Kautz, K., Müller, G. (1971) Tsumcorit(e) [PbZnFe(AsO4)2] · H2O, ein neues mineral aus den oxidationszonen der Tsumeb-Mine, Südwestafrika. Neues Jahrbuch für Mineralogie, Monatshefte: 1971: 305-309.","Tmc","36"
"4040","Tsumebite","6","0","1912","1912","1912","1912","8","B","G","05","9","Busz, V.K. (1912) Tsumebit, ein neues Blei-Kupfer-Phosphat von Otavi, Deutsch Süd-West-Afrika. Deutschen Naturforscher und Årtze in Münster, Versammlung: 84: 182-185.","Tsu","40"
"11481","Tsumgallite","1","2002","","2002",\N,"2003","4","F","D","10","1","Schluüter, J., Klaska, K.H., Adiwidjaja, G., Gebhard, G. (2003) Tsumgallite, GaO(OH), a new mineral from the Tsumeb mine, Tsumeb, Namibia. Neues Jahrbuch für Mineralogie, Monatshefte: 2003(11): 521-527.","Tgl","1"
"4041","Tsumoite","1","1972","1972","1974","1978",\N,"2","D","C","05","1","","Tsm","126"
"52713","Tsygankoite","0",\N,"","2018",\N,"2018","2","H","D","65","1","Kasatkin, A.V., Makovicky, E., Plášil, J., Škoda, R., Agakhanov, A.A, Karpenko, V.Y. and Nestola, F. (2018) Tsygankoite, Mn8Tl8Hg2(Sb21Pb2Tl)Σ24S48, a New Sulfosalt from the Vorontsovskoe Gold Deposit, Northern Urals, Russia. Minerals: 8(5): 218.","Tsy","1"
"42737","Tubulite","1","2012","","2011",\N,\N,"2","J","B","35f","1","","Tub","2"
"4042","Tučekite","1","0","1978","1975","1978","1978","2","B","B","10","1","Just, J., Feather, C.E. (1978) Tučekite, a new antimony analogue of hauchecornite. Mineralogical Magazine 42, 278 (and M21-M22).","Tuč","23"
"4043","Tugarinovite","1","1979","1979","1979","1974","1980","4","D","B","05","1","Kruglova V.G., Poteryaikina A.A., Sidorenko G.A., Dubakina L.S., Ryabeva E.G. (1980) Tugarinovite, (MoO2), a new hypogene molybdenum mineral. Zapiski Vserossiyskogo Mineralogicheskogo Obshchestva: 109: 465-468","Tug","8"
"4044","Tugtupite","1","0","1962","1963","1960",\N,"9","F","B","10","1","","Ttp","18"
"4045","Tuhualite","6","0","1932","1932","1932",\N,"9","D","N","05","9","","Tuh","8"
"25637","Tuite","1","2001","","2001",\N,\N,"8","A","C","45","1","","Tu","11"
"4046","Tulameenite","1","1972","1972","1972","1973",\N,"1","A","G","40","1","","Tul","68"
"4047","Tuliokite","1","1988","1988","1988","1990","1990","5","C","B","50","1","Yakovenchuk, V.N., Pakhomovskiy, Y.A., Voloshin, A.V., Bogdanova, A.N., Yamnova, N.A., Pushcharovskiy, D.Y. (1990) Tuliokite Na6BaTh(CO3)6·H2O - a new hydrous carbonate of sodium, barium, and thorium, from alkalic pegmatites of the Khibiny massif (Kola Peninsula). Mineralogiceskij Zhurnal: 12: 74-78.","Tli","1"
"46500","Tululite","1","2014","","2014",\N,\N,"4","B","C","30","1","","Tlu","2"
"7102","Tumchaite","1","1999","","1999",\N,"2000","9","E","A","60","1","Subbotin, V.V., Merlino, S., Pushcharovsky, D.Y., Pakhomovsky, Y.A., Ferro, O., Bogdanova, A.N., Voloshin, A.V., Sorokhtina, N.V., Zubkova, N.V. (2000) Tumchaite Na2(Zr,Sn)Si4O11·2H2O—a new mineral from carbonatites of the Vuoriyarvi alkali-ultrabasic massif, Murmansk Region, Russia. American Mineralogist: 85: 1516-1520.","Tum","2"
"4048","Tundrite-(Ce)","1","0","","1965","1965",\N,"9","A","H","10","1","","Tnd-Ce","7"
"4049","Tundrite-(Nd)","1","0","","1967","1967",\N,"9","A","H","10","1","","Tnd-Nd","1"
"4050","Tunellite","1","0","1961","1961","1961",\N,"6","F","C","05","1","","Tnl","16"
"7982","Tungsten","1","2011","","2011","1995",\N,"1","A","E","05","1","","W","25"
"4051","Tungstenite","6","0","","1917","1917",\N,"2","E","A","30","9","","Tgt","35"
"4052","Tungstibite","1","1993","","1993","1995",\N,"4","D","E","15","1","","Tsb","4"
"4054","Tungstite","6","0","1868","1868","1822",\N,"4","F","J","10","9","","Tgs","141"
"4055","Tungusite","1","1966","1966","1966","1966","1966","9","E","E","30","1","Kudryashova, V.I. (1966) Tungusite, a new mineral of the hydrous calcium silicate group. Doklady Akademii Nauk SSSR: 171: 1167-1170.","Tgu","11"
"4056","Tunisite","1","1967","1967","1967","1969","1969","5","B","B","15","1","Johan, Z., Povondra, P., Slánsky, E. (1969) Tunisite, a new carbonate from Tunisia. American Mineralogist: 54: 1-13.","Tun","5"
"4057","Tuperssuatsiaite","1","1984","1968","1984","1984","1984","9","E","E","20","1","Karup-Møller S, Petersen O V (1984) Tuperssuatsiaite, a new mineral species from the Ilímaussaq intrusion in South Greenland. Neues Jahrbuch für Mineralogie, Monatshefte 1984: 501-512 ","Tup","15"
"4058","Turanite","1","0","1909","1909","1909","1909","8","B","B","70","9","Nenadkevich, K.A. (1909) Turanite and alaite, two new vanadium minerals. Izvestiya Imperatorskoy Akademii Nauk: 3: 185-187.","Trn","7"
"7345","Turkestanite","1","1996","","1996","1997","1997","9","C","H","10","1","Pautov, L.A., Agakhanov, A.A., Sokolova, E.V., Kabalov, Y.K. (1997) Turkestanite Th(Ca,Na)2(K1-x◻x)Si8O20·nH2O – a new mineral. Zapiski Vserossijskogo Mineralogicheskogo Obshchestva: 126(6): 45-55.","Tkt","14"
"4059","Turneaureite","1","1983","1983","1983","1985","1985","8","B","N","05","1","Dunn, P.J., Petersen, E.U., Peacor D.R. (1985) Turneaureite, a new member of the apatite group from Franklin, New Jersey, Balmat, New York and Långban, Sweden. The Canadian Mineralogist: 23: 251-254.","Trr","7"
"4060","Turquoise","6","0","1678","0","1746",\N,"8","D","D","15","9","","Tqu","562"
"11090","Turtmannite","1","2000","","2000",\N,\N,"8","B","E","45","1","","Tt","1"
"4061","Tuscanite","1","1976","1976","1976","1977",\N,"9","E","G","45","1","","Tus","12"
"4062","Tusionite","1","1982","1982","1982","1983",\N,"6","A","A","15","1","","Tsn","5"
"4063","Tuzlaite","1","1993","1993","1993","1994","1994","6","E","C","25","1","Bermanec, V., Armbruster, T., Tibljas, D., Sturman, D., Kniewald, G. (1994) Tuzlaite, NaCa[B5O8(OH)2]·3H2O, a new mineral with a pentaborate sheet structure from the Tuzla salt mine, Bosnia and Hercegovina. American Mineralogist: 79: 562-569.","Tuz","2"
"4064","Tvalchrelidzeite","1","1974","1974","1974","1975","1975","2","G","C","45","1","Gruzdev, V.S., Mchedlishvili, N.M., Terakhova, G.A., Tsertsvadze, Z.Y., Chernitsova, N.M., Shumkova, N.G. (1975) Tvalchrelidzeite, Hg12(Sb,As)8S15, a new mineral from the Gomi arsenic—antimony—mercury deposit, Caucasus. Doklady Akademii Nauk SSSR: 225: 911-913.","Tva","8"
"4065","Tvedalite","1","0","1992","1990","1992",\N,"9","D","F","20","1","","Tve","5"
"4066","Tveitite-(Y)","1","1975","","1975","1977","1977","3","A","B","30","1","Bergstøl, S., Jensen, B.B., Neumann, H. (1977) Tveitite, a new calcium yttrium fluoride. Lithos: 10: 81-87.","Ttt-Y","10"
"46532","Tvrdýite","1","2014","","2014",\N,"2016","8","D","C","27","1","Sejkora, J., Grey, I.E., Kampf, A.R., Price, J.R., Cejka, J. (2016) Tvrdýite, Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>Al<sub>3</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>5</sub>(OH<sub>2</sub>)<sub>4</sub>·2H<sub>2</sub>O, a new phosphate mineral from Krásno near Horní Slavkov, Czech Republic. Mineralogical Magazine: 80: 1077-1088.","Tvr","3"
"11118","Tweddillite","1","0","","2001",\N,\N,"9","B","G","05","1","","Twe","4"
"4067","Twinnite","1","1966","1966","1966","1967",\N,"2","H","C","05a","1","","Twi","22"
"4068","Tychite","6","0","1905","1905","1905",\N,"5","B","F","05","9","","Tyc","7"
"4069","Tyretskite","1","0","","1968","1968",\N,"6","E","D","05","1","","Tyr","3"
"4070","Tyrolite","6","0","1845","1817","1816",\N,"8","D","M","10","9","","Tyl","292"
"4071","Tyrrellite","6","0","1952","1952","1952",\N,"2","D","A","05","9","","Ty","19"
"4072","Tyuyamunite","6","0","1912","1912","1912","1912","4","H","B","25","9","Nenadkevič, Konstantin Avtonomovich (1912) Tyuyamunite - a new mineral. Bulletin de l'Académie Impériale des Sciences de St.-Pétersbourg: 6: 945-946.","Tyu","717"
"52913","Uakitite","0",\N,"","2018",\N,"2020","1","B","C","15","1","Sharygin, V.V.; Ripp, G.S.; Yakovlev, G.A.; Seryotkin, Y.V.; Karmanov, N.S.; Izbrodin, I.A.; Grokhovsky, V.I.; Khromova, E.A. (2020) Uakitite, VN, a New Mononitride Mineral from Uakit Iron Meteorite (IIAB). Minerals 10, 150. ","Uak","1"
"4075","Uchucchacuaite","1","1981","1981","1981","1984","1984","2","J","B","40a","1","Moëlo, Y., Oudin, E., Picot, P., Caye, R. (1984) L'uchucchacuaïte, AgMnPb3Sb5S12, une nouvelle espèce minérale de la série de l'andorite. Bulletin de la Société française de Minéralogie et de Cristallographie: 107: 597-604.","Uch","8"
"53169","Udinaite","0",\N,"","2018",\N,\N,"8","A","C","50","5","","Udn","1"
"4078","Uduminelite","13","0","","1950","1950",\N,"8","D","M","30","8","","Udm","1"
"29545","Uedaite-(Ce)","1","2006","","2006","1988","2008","9","B","G","05","1","Miyawaki, R., K.Yokoyama, S. Matsubara, Y. Tsutsumi, A. Goto (2008) Uedaite-(Ce), a new member of the epidote group with Mn at the A site, from Shodoshima, Kagawa Prefecture, Japan. European Journal of Mineralogy: 20: 261-269.","Ued-Ce","8"
"4084","Uklonskovite","1","0","1964","1964","1964","1964","7","D","F","05","1","Slyusareva, M.N. (1964) The new mineral uklonskovite. Doklady Akademii Nauk SSSR: 158: 1093-1095.","Ukl","8"
"4085","Ulexite","6","0","1850","1850","1844",\N,"6","E","A","25","9","","Ulx","184"
"51581","Ulfanderssonite-(Ce)","1","2013","","2017",\N,"2017","9","A","G","52","1","Holtstam, D., Bindi, L., Hålenius, U., Kolitsch, U., Mansfeld, J. (2017) Ulfanderssonite-(Ce), a new Cl-bearing REE silicate mineral species from the Malmkärra mine, Norberg, Sweden. European Journal of Mineralogy: 29: 1015-1026.","Ulf-Ce","1"
"4086","Ullmannite","6","0","1843","1843","1891",\N,"2","E","B","25","9","","Ull","355"
"4088","Ulrichite","1","1988","1988","1988","1988","1988","8","E","A","15","1","Birch, W.D., Mumme, W.G., Segnit, E.R. (1988) Ulrichite: a new copper calcium uranium phosphate from Lake Boga, Victoria, Australia. Australian Mineralogist: 3(3): 125-131.","Ulr","1"
"4089","Ulvöspinel","6","0","","1946","1946",\N,"4","B","B","05","9","","Uspl","148"
"4090","Umangite","6","0","1891","1891","1891","1891","2","B","A","25","9","Klockmann, F. (1891) Mineralogische mittheilungen aus den sammlungen der Bergakademie zu Clausthal. Zeitschrift für Krystallographie und Mineralogie: 19: 265-275 (269).","Um","85"
"4091","Umbite","1","1982","1982","1982","1983",\N,"9","D","G","25","1","","Umb","10"
"4092","Umbozerite","1","1973","1973","1973","1974",\N,"9","H","G","15","1","","Ubz","6"
"42376","Umbrianite","1","2011","","2011",\N,"2013","9","E","B","25","1","Sharygin, V.V., Pekov, I.V., Zubkova, N.V., Khomyakov, A.P., Stoppa, F., Pushcharovsky, D.Y. (2013) Umbrianite, K7Na2Ca2 [Al3Si10O29] F2Cl2, a new mineral species from melilitolite of the Pian di Celle volcano, Umbria, Italy. European Journal of Mineralogy: 25(4): 655-669. ","Ubn","2"
"4093","Umohoite","6","0","1953","1953","1953",\N,"4","G","C","10","9","","Umo","23"
