"Mineral Name","Mineral Name (plain)","Year First Published"
"Aurichalcite","Aurichalcite","1839"
"Auricupride","Auricupride","1950"
"Aurihydrargyrumite","Aurihydrargyrumite","2017"
"Aurivilliusite","Aurivilliusite","2002"
"Aurorite","Aurorite","1966"
"Aurostibite","Aurostibite","1952"
"Austinite","Austinite","1935"
"Autunite","Autunite","1852"
"Avdeevite","Avdeevite","2019"
"Avdoninite","Avdoninite","2005"
"Averievite","Averievite","1995"
"Avicennite","Avicennite","1958"
"Avogadrite","Avogadrite","1926"
"Awaruite","Awaruite","1885"
"Axelite","Axelite","2017"
"Axinite-(Fe)","Axinite-(Fe)","1801"
"Axinite-(Mg)","Axinite-(Mg)","1975"
"Axinite-(Mn)","Axinite-(Mn)","1909"
"Azoproite","Azoproite","1970"
"Azurite","Azurite","1824"
"Babánekite","Babanekite","2012"
"Babefphite","Babefphite","1966"
"Babingtonite","Babingtonite","1824"
"Babkinite","Babkinite","1994"
"Backite","Backite","2013"
"Badakhshanite-(Y)","Badakhshanite-(Y)","2018"
"Badalovite","Badalovite","2016"
"Baddeleyite","Baddeleyite","1893"
"Badengzhuite","Badengzhuite","2019"
"Bafertisite","Bafertisite","1959"
"Baghdadite","Baghdadite","1982"
"Bahariyaite","Bahariyaite","2020"
"Bahianite","Bahianite","1974"
"Baileychlore","Baileychlore","1986"
"Bainbridgeite-(YCe)","Bainbridgeite-(YCe)","2020"
"Bairdite","Bairdite","2012"
"Bakhchisaraitsevite","Bakhchisaraitsevite","1999"
"Baksanite","Baksanite","1992"
"Balangeroite","Balangeroite","1982"
"Balestraite","Balestraite","2013"
"Balićžunićite","Baliczunicite","2012"
"Balipholite","Balipholite","1975"
"Balkanite","Balkanite","1971"
"Balliranoite","Balliranoite","2008"
"Balyakinite","Balyakinite","1980"
"Bambollaite","Bambollaite","1965"
"Bamfordite","Bamfordite","1996"
"Banalsite","Banalsite","1944"
"Bandylite","Bandylite","1938"
"Bannermanite","Bannermanite","1980"
"Bannisterite","Bannisterite","1967"
"Baotite","Baotite","1960"
"Barahonaite-(Al)","Barahonaite-(Al)","2006"
"Barahonaite-(Fe)","Barahonaite-(Fe)","2006"
"Bararite","Bararite","1951"
